lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
166,0,85.01,7,24,3,2,2,1,0,0
71,2,171.3,4,7,4,3,0,0,5,1
3,0,98.8,9,7,3,1,1,0,0,1
116,0,86.21,4,26,4,10,4,3,0,0
1,0,85.0,12,10,4,1,0,3,0,1
104,1,71.9,12,23,4,5,2,0,0,1
122,1,121.5,5,12,4,3,0,0,3,1
3,1,155.0,5,28,4,1,0,0,0,1
66,0,46.63,11,12,4,8,2,0,0,1
36,0,60.0,11,3,3,5,0,0,3,1
2,0,63.75,11,4,3,4,0,0,0,1
110,1,85.87,11,2,4,3,0,3,0,1
63,2,109.35,4,26,4,2,0,0,0,1
0,0,137.0,6,28,4,1,0,3,0,1
62,1,126.4,5,21,4,1,2,3,0,1
78,0,65.58,3,7,3,2,1,0,0,1
90,1,63.86,4,1,4,2,0,0,0,1
43,1,96.3,9,17,3,1,2,0,3,1
23,0,85.6,8,25,4,3,1,0,0,0
88,1,126.9,6,2,4,3,0,0,0,1
0,0,75.0,3,8,2,1,0,0,3,1
69,1,153.05,10,16,4,3,2,0,5,1
182,0,98.1,10,12,4,1,0,3,0,0
14,0,117.3,11,6,4,2,2,0,0,1
97,1,62.0,12,29,3,3,0,0,0,1
1,1,159.0,9,15,4,1,0,3,0,1
17,2,84.33,3,5,4,1,2,3,0,1
190,2,177.3,7,18,4,1,1,0,5,0
17,2,135.0,10,7,4,1,0,3,0,1
57,0,109.65,5,13,4,3,2,3,0,0
13,1,85.0,2,18,4,2,0,0,0,1
224,1,65.0,10,2,3,2,1,0,1,1
29,0,64.8,3,23,3,3,0,3,0,1
61,0,118.8,4,7,4,3,0,0,3,1
95,1,77.86,12,7,4,4,0,0,1,1
35,1,107.1,3,27,4,0,2,3,0,1
95,0,127.8,7,6,4,4,0,0,3,0
50,0,65.66,3,5,4,2,2,0,1,0
17,0,109.0,12,24,3,3,1,0,5,1
15,0,92.5,11,17,4,4,2,3,0,0
82,0,73.9,4,3,4,3,2,0,0,1
134,1,89.25,5,15,4,2,2,3,0,1
19,0,169.0,7,27,4,2,0,0,0,1
236,0,89.0,8,2,2,5,0,0,0,1
24,0,123.5,4,11,4,3,1,0,3,0
168,1,146.7,8,13,4,1,0,0,0,0
4,3,128.0,8,17,4,1,1,0,0,1
192,0,130.05,8,4,4,3,1,0,0,0
10,1,146.0,4,23,4,1,1,0,3,0
7,0,130.0,5,16,2,3,1,0,0,1
217,3,76.5,8,7,4,1,0,0,1,1
77,1,105.3,4,6,4,2,0,0,3,1
64,0,149.4,9,16,4,1,0,0,3,0
6,1,80.3,1,16,4,1,0,0,0,1
5,1,139.0,8,29,4,3,1,0,0,1
126,0,118.8,9,8,4,3,0,3,0,0
12,0,95.0,2,15,4,3,1,0,0,1
31,1,113.64,8,15,4,2,1,0,0,1
151,0,80.0,1,19,3,2,0,0,0,1
20,0,66.0,2,21,3,2,2,0,0,1
127,0,90.0,4,28,3,3,1,0,0,1
28,0,95.0,5,19,2,2,0,0,0,0
9,0,58.0,2,8,3,2,1,3,0,1
45,1,93.6,12,25,4,1,2,0,0,1
115,0,108.0,10,13,4,1,0,3,0,0
46,1,82.9,3,10,4,2,0,0,0,1
8,2,90.0,8,26,4,2,0,0,0,1
180,1,100.0,5,2,3,1,1,0,0,1
98,0,65.0,9,21,2,1,0,0,0,1
10,1,129.0,10,19,4,0,1,0,0,1
169,2,107.0,4,23,4,2,2,0,0,0
97,1,110.5,4,25,4,3,1,3,0,1
5,0,100.0,9,20,2,0,2,0,0,1
96,3,100.13,10,24,4,3,1,0,0,1
138,0,218.03,7,4,4,3,1,1,5,0
50,2,157.9,7,20,4,2,0,0,3,1
2,0,75.0,8,13,4,2,0,0,0,1
89,1,63.75,11,17,4,3,0,0,0,1
5,0,174.0,11,28,4,0,1,0,5,1
73,1,149.4,6,16,4,3,0,0,3,1
274,1,96.5,7,31,4,1,2,0,1,1
19,1,231.0,8,11,4,3,0,0,5,0
16,0,58.88,2,12,4,2,1,3,0,1
49,0,63.58,3,18,3,2,1,0,0,1
20,1,151.0,7,23,4,1,2,0,0,1
101,0,126.9,5,6,4,2,0,0,0,0
14,2,74.61,9,2,4,5,2,0,3,1
50,2,1.0,1,14,4,3,0,0,0,1
35,2,114.98,12,29,4,6,2,0,3,1
126,1,134.18,7,18,4,5,2,1,0,1
30,1,113.4,11,18,4,3,0,0,0,1
6,0,49.59,11,28,4,3,1,3,0,1
212,1,70.0,5,20,3,3,2,0,0,1
100,0,80.75,9,25,3,1,2,0,0,1
12,0,108.67,11,25,4,2,1,0,0,0
14,1,80.0,2,27,4,1,0,3,0,1
259,1,73.95,12,7,4,4,0,0,0,1
36,0,97.92,10,16,3,2,1,0,3,1
5,0,151.33,10,6,4,3,0,0,0,1
64,0,126.9,6,10,4,2,0,0,0,0
157,1,97.75,7,6,4,4,0,3,0,1
38,0,67.5,10,30,3,2,2,0,3,1
90,0,84.45,3,6,4,3,2,0,3,1
132,1,113.4,10,8,4,3,2,0,0,0
183,0,98.1,10,11,4,1,0,3,0,0
202,1,40.0,11,6,2,2,2,0,0,1
279,1,80.75,8,25,4,5,2,3,0,0
27,1,107.03,9,24,4,1,0,0,3,1
260,3,108.68,10,22,4,5,2,0,0,1
67,1,168.3,9,12,4,0,1,0,3,0
177,1,74.5,8,5,3,2,2,0,0,1
1,1,77.77,4,16,4,1,1,0,0,1
6,0,126.0,12,30,4,2,1,3,0,1
63,3,72.25,10,27,4,5,0,0,0,1
32,1,73.0,11,20,3,2,0,0,0,1
92,1,69.5,2,9,4,2,0,0,0,1
197,0,160.6,12,21,3,4,1,1,0,1
9,0,104.0,4,21,2,1,0,0,0,1
14,0,62.5,5,27,3,1,0,0,0,1
149,1,99.45,7,23,4,4,2,0,0,1
53,1,81.0,12,29,4,2,0,3,0,1
0,0,85.24,8,30,4,1,0,3,0,1
42,1,86.4,10,6,4,1,0,0,0,0
132,0,121.37,7,31,4,5,2,0,3,0
1,0,65.0,11,19,2,1,0,0,0,1
102,0,87.0,10,16,3,2,0,1,0,1
119,2,79.2,11,4,4,2,0,3,0,0
15,0,65.0,10,22,2,1,0,0,0,1
95,2,84.6,11,20,4,0,2,0,0,0
55,2,73.8,11,10,4,1,0,0,0,1
115,0,82.45,8,22,3,5,2,0,3,1
207,1,123.25,8,29,4,3,1,0,0,0
41,0,70.0,12,27,3,5,1,0,0,1
28,2,110.65,10,12,4,1,1,0,0,1
51,0,152.1,8,18,4,2,0,0,0,0
85,1,99.9,7,25,4,1,1,0,0,1
11,2,186.0,5,2,4,1,1,0,3,1
0,0,88.2,12,13,3,1,0,0,0,1
167,0,90.9,8,26,4,2,1,0,0,0
3,0,0.0,9,12,1,1,0,0,1,1
40,0,94.5,6,21,4,3,0,0,0,1
54,0,90.95,6,20,3,2,1,0,3,1
39,0,60.0,10,30,3,2,1,0,3,1
148,3,113.69,7,1,4,6,2,0,0,1
27,1,85.0,10,20,3,3,0,0,0,1
0,0,75.0,3,8,2,2,0,0,3,0
25,0,104.0,12,23,4,2,1,0,0,0
18,1,129.0,4,2,4,1,0,3,0,1
72,0,78.15,3,19,4,1,0,0,1,0
25,2,142.45,6,13,4,2,1,0,3,1
26,0,104.0,12,17,4,1,1,0,0,1
13,0,75.0,7,26,2,1,0,0,0,1
84,1,187.85,5,13,4,2,2,0,5,1
15,0,87.0,2,20,3,2,2,0,0,1
37,0,60.0,11,1,3,1,2,0,3,1
6,2,160.0,10,20,4,3,0,0,0,1
111,1,96.3,4,26,4,1,0,0,0,1
3,1,89.0,4,24,4,0,1,3,0,1
129,0,47.2,12,29,3,5,0,0,0,1
190,0,67.09,8,25,4,3,1,3,0,0
97,2,96.3,4,8,4,2,0,0,0,1
4,0,198.0,2,6,4,1,2,1,5,1
18,2,148.0,12,30,4,2,1,0,3,1
9,2,0.0,7,8,1,1,0,0,3,1
12,1,163.67,4,1,4,2,1,0,3,1
5,3,104.0,4,12,2,3,0,0,0,1
143,0,100.3,6,2,4,3,2,0,0,0
117,1,95.2,4,29,4,2,2,0,0,1
0,0,89.0,5,9,4,0,1,3,0,0
32,0,81.9,3,13,4,2,2,0,0,1
42,0,134.98,4,24,4,3,2,0,3,0
122,0,85.0,4,15,4,2,0,0,0,0
1,0,80.0,2,19,2,1,0,0,0,1
16,1,112.81,8,24,4,1,0,3,0,0
32,0,165.15,4,27,4,1,0,1,0,1
0,1,164.0,9,23,4,2,0,0,0,1
1,0,155.0,10,7,4,2,0,0,3,1
109,1,77.89,4,20,4,4,1,0,0,1
114,2,87.67,6,6,4,3,1,0,0,1
31,0,75.0,10,26,3,2,1,0,3,1
33,0,90.95,8,30,3,3,0,0,3,1
109,1,174.6,10,28,4,2,1,1,3,0
1,1,138.0,5,6,4,2,0,3,0,1
8,2,103.0,11,21,4,0,1,0,0,1
43,0,69.53,2,5,4,2,1,0,1,0
212,0,80.75,8,11,4,3,1,3,0,0
49,0,69.5,3,6,4,1,2,3,0,1
55,2,207.0,10,18,4,5,1,0,5,1
52,3,103.7,12,4,4,2,2,0,0,1
33,0,85.5,5,29,3,1,2,0,0,1
55,0,106.24,9,11,4,3,2,0,3,1
11,0,64.8,3,5,3,1,2,0,0,1
11,2,141.95,5,30,4,3,1,0,3,1
38,1,97.75,6,26,4,2,2,0,0,1
123,0,120.34,10,21,4,5,2,0,3,1
9,0,111.0,11,25,4,1,0,0,0,1
2,2,163.63,9,10,4,6,2,0,0,1
5,2,190.0,12,8,4,2,0,0,5,1
79,0,95.0,9,3,3,5,2,0,0,1
92,1,97.41,4,24,4,3,2,1,0,1
133,0,114.3,5,17,4,3,0,0,3,1
192,0,80.75,6,18,3,2,2,0,0,1
7,1,0.0,7,19,1,7,2,0,0,1
19,0,130.0,5,2,4,2,1,0,0,1
0,0,89.0,4,15,4,2,1,3,0,1
169,1,89.25,7,25,4,3,1,3,0,1
0,0,64.0,1,14,3,1,0,0,0,1
0,0,117.0,12,29,4,1,0,0,0,1
90,1,79.8,3,25,4,2,2,0,1,1
19,0,110.0,6,22,2,2,0,0,0,1
179,0,179.92,8,15,4,5,1,1,3,0
22,1,155.77,9,8,4,6,2,0,6,1
41,1,110.09,10,23,4,2,2,0,3,1
10,3,141.0,5,9,4,3,1,0,3,1
33,0,104.49,5,9,4,1,1,3,0,0
90,0,90.0,5,8,3,3,2,1,0,1
69,1,77.86,12,23,4,2,2,0,1,1
8,0,123.2,10,19,4,2,0,0,0,1
1,0,96.0,8,29,4,1,2,0,0,1
0,0,64.4,3,18,3,1,0,0,0,1
60,0,130.48,4,25,4,3,1,0,3,1
190,1,121.5,8,8,4,2,1,0,0,0
6,0,0.0,11,13,1,0,1,0,5,1
32,1,120.0,10,24,4,1,1,0,0,1
44,2,189.9,7,9,4,1,0,0,5,1
2,1,76.0,1,4,4,0,1,0,0,1
10,1,140.8,8,27,4,3,2,0,0,1
62,1,109.8,9,1,4,3,0,0,0,1
18,1,107.65,10,16,4,3,2,0,3,1
38,0,96.3,10,20,4,5,0,0,0,1
40,0,98.82,3,14,4,4,1,0,3,1
120,0,140.4,6,13,4,0,1,0,3,0
131,1,94.5,7,29,4,1,0,3,0,1
88,0,90.6,10,5,3,1,1,1,0,1
56,2,209.0,11,7,4,2,1,0,3,1
1,1,89.0,3,30,4,1,0,3,0,1
9,0,169.11,9,20,4,5,4,3,0,1
112,1,146.7,8,9,4,3,0,0,3,1
79,0,150.45,5,16,4,3,1,0,0,0
4,0,147.0,7,19,2,3,0,0,4,1
137,1,102.73,8,20,4,5,2,0,0,1
4,1,0.0,12,11,1,1,0,0,6,1
0,2,168.3,8,27,4,1,0,0,5,1
6,0,65.0,10,10,3,1,2,0,0,1
54,1,208.41,8,24,4,5,2,1,3,0
199,2,127.62,8,14,4,5,2,0,3,0
68,0,60.0,11,29,3,2,2,0,3,1
134,0,90.9,6,30,4,3,0,0,0,0
23,0,109.0,1,2,3,1,2,1,0,1
42,2,162.5,8,21,4,5,4,0,3,1
102,0,140.4,5,19,4,3,0,0,3,1
141,0,139.95,8,17,4,6,2,0,3,0
134,2,76.5,8,13,4,3,0,0,0,1
117,0,66.14,3,2,4,1,0,0,0,1
38,2,148.95,4,27,4,4,0,0,3,1
24,0,78.0,8,19,4,3,2,0,0,0
7,1,115.0,2,15,3,4,1,0,0,1
70,1,84.15,3,28,3,3,1,0,0,1
40,1,139.87,3,27,4,1,2,0,3,0
94,0,152.1,8,14,4,2,2,1,0,0
65,1,88.0,11,13,4,5,2,3,0,1
87,1,158.4,9,21,4,2,0,0,3,1
139,0,96.3,8,26,4,2,0,0,0,0
232,0,75.65,12,24,3,3,2,3,0,1
53,1,88.4,11,21,4,4,1,0,0,1
239,0,90.6,6,15,4,2,0,1,0,0
218,1,96.3,8,6,4,1,0,0,0,0
60,0,89.46,4,24,4,2,2,0,0,0
5,0,110.0,9,12,0,0,1,0,3,0
80,0,75.0,9,26,3,2,1,0,0,0
67,0,117.6,10,19,4,4,0,0,3,0
17,0,166.0,7,9,4,1,1,0,3,0
22,1,194.0,5,21,4,2,2,1,3,1
35,1,104.85,10,17,4,1,1,0,0,1
4,0,109.0,8,1,4,1,1,3,0,0
11,0,0.0,10,4,1,2,0,1,0,1
183,2,103.5,10,4,4,3,0,0,0,0
42,0,71.6,2,12,4,2,1,0,0,1
32,0,63.0,11,11,3,2,0,3,0,1
260,1,56.94,11,16,4,4,1,0,0,1
0,0,113.33,11,5,4,4,2,1,0,1
44,1,259.2,8,10,4,1,0,1,5,1
57,1,54.98,3,10,4,1,0,0,0,1
104,2,138.6,9,2,4,2,1,0,0,1
142,1,95.79,8,21,4,3,2,0,1,1
22,0,62.0,11,17,2,1,0,0,0,0
33,0,65.0,9,28,1,2,0,0,0,1
4,0,107.0,5,21,3,1,0,0,3,1
158,1,69.92,4,16,4,1,2,0,1,1
224,1,90.95,8,23,4,5,2,0,0,1
71,1,90.95,3,31,4,3,1,0,3,1
8,1,77.92,12,27,4,1,2,3,0,1
47,0,120.0,9,13,3,3,0,0,3,1
16,1,31.0,2,26,2,1,0,0,0,1
86,0,90.0,9,9,2,2,0,0,0,1
4,0,151.5,10,7,4,2,0,0,0,1
51,0,75.0,11,16,3,4,0,0,0,1
14,1,110.0,6,26,4,0,1,0,0,1
11,0,94.6,9,13,4,2,2,0,0,1
99,1,88.6,6,21,4,3,0,0,0,0
1,0,75.0,11,29,3,1,0,0,0,1
5,0,55.74,3,7,3,4,1,0,0,1
47,0,73.8,3,21,3,0,1,0,3,1
34,1,81.9,3,12,4,1,0,0,0,1
81,0,60.0,2,19,3,2,1,0,0,1
9,3,99.0,8,20,4,2,0,0,0,1
5,1,119.8,12,7,3,3,0,0,4,1
273,0,94.5,6,24,4,2,1,0,0,0
42,0,60.0,1,14,3,3,1,0,0,1
11,2,65.0,11,4,2,2,0,0,3,1
7,1,79.67,1,20,4,3,0,3,0,1
24,0,58.0,12,27,3,1,2,0,0,1
269,1,70.0,12,29,3,3,2,0,0,1
75,3,135.9,9,26,4,2,1,0,0,1
102,0,95.03,5,2,4,4,1,3,0,0
70,2,97.2,10,18,4,2,0,3,0,1
151,0,59.5,3,20,3,3,2,0,0,1
95,0,96.3,4,18,4,2,1,0,0,0
244,1,85.5,9,3,4,1,0,3,0,0
31,0,73.9,1,19,4,3,0,0,0,1
38,1,136.8,9,7,4,3,0,0,3,1
45,0,86.4,11,19,4,1,1,0,0,0
0,0,65.0,8,29,2,2,1,0,0,1
7,1,124.0,4,10,4,0,2,0,3,1
20,0,139.0,7,4,4,5,1,3,0,0
15,0,96.9,12,5,4,3,1,0,3,1
89,0,79.5,4,9,4,1,2,3,0,1
215,0,67.26,11,30,4,4,0,0,1,0
13,0,110.0,9,20,2,3,0,0,3,0
68,0,92.83,6,18,4,1,2,0,0,0
163,1,73.37,4,9,4,5,2,0,0,1
208,0,75.44,12,29,4,4,0,0,0,0
4,0,121.0,5,31,2,2,0,0,0,1
71,0,73.95,3,13,4,3,2,0,0,0
29,0,85.0,10,25,3,3,0,0,0,1
1,0,89.0,3,29,4,1,0,3,0,0
35,0,214.76,8,17,4,3,0,0,6,0
31,0,104.64,10,2,4,1,2,0,0,1
68,1,96.99,5,21,4,3,2,0,3,1
147,1,127.93,7,3,4,2,2,0,3,1
125,1,99.45,7,23,4,2,2,0,0,1
0,0,97.0,2,24,4,1,0,0,0,1
0,0,88.0,8,11,2,1,0,0,0,1
20,0,221.0,4,2,4,1,0,0,5,0
205,0,86.63,7,21,4,2,0,0,1,0
41,0,79.43,2,5,4,3,2,0,0,1
0,0,79.0,2,4,4,1,0,3,0,0
12,0,75.0,1,22,4,2,0,3,0,1
236,1,84.43,9,27,4,4,0,3,0,0
196,0,85.5,8,6,4,1,1,3,0,0
25,0,221.0,5,19,4,1,0,0,5,0
63,1,126.9,6,9,4,3,0,0,0,0
63,0,80.5,9,4,3,2,0,1,0,1
32,0,159.3,3,24,4,3,0,0,3,0
52,1,158.4,10,17,4,1,1,0,3,0
29,1,136.32,5,19,4,3,2,0,3,1
48,1,158.0,10,22,4,1,1,0,5,1
10,1,118.0,8,28,4,0,2,3,0,0
58,0,75.0,11,16,3,3,0,0,0,1
28,0,194.8,8,13,3,3,2,1,0,1
55,1,108.9,6,26,4,2,2,0,0,0
0,1,115.0,5,23,3,0,1,0,0,1
134,2,135.15,6,15,4,4,2,0,0,1
108,0,90.3,4,13,4,3,0,0,0,1
45,0,65.0,4,10,2,0,1,0,0,0
65,2,81.9,11,18,4,1,0,0,3,1
1,0,145.0,10,20,3,1,0,0,0,1
60,0,204.0,11,7,4,2,1,3,4,0
0,0,79.0,1,6,2,2,0,0,0,1
155,0,72.25,7,8,3,3,2,0,0,1
205,1,94.5,8,21,4,1,2,3,0,0
89,0,128.85,5,8,4,2,2,0,0,1
64,2,119.51,4,1,4,3,2,0,3,1
180,2,54.75,11,13,4,0,1,3,0,1
59,0,75.0,10,29,3,2,0,0,0,1
49,0,159.3,5,7,4,1,1,0,3,0
0,1,73.9,1,6,4,1,0,0,0,1
143,1,106.75,8,8,4,5,2,3,0,1
59,2,80.3,3,2,4,3,0,0,0,1
131,0,81.3,4,16,4,1,2,0,0,1
57,0,76.2,12,26,4,6,2,0,0,1
36,0,92.88,5,22,3,0,2,3,0,0
113,0,80.14,5,10,4,5,2,0,0,0
12,0,85.0,12,19,3,2,2,0,5,1
173,2,104.4,10,25,4,3,0,0,3,0
196,1,80.75,8,3,4,4,1,3,0,1
107,2,146.7,6,28,4,5,0,0,3,1
155,2,143.1,9,8,4,1,0,0,0,0
147,1,123.3,8,14,4,1,2,0,0,1
193,0,93.58,7,8,3,2,2,0,0,1
12,1,152.0,9,17,4,1,0,0,0,0
1,0,101.0,3,3,4,2,0,0,0,0
13,0,154.0,12,6,4,3,0,0,3,1
12,0,71.0,1,19,3,2,0,0,0,1
126,1,83.12,5,15,4,2,2,0,3,1
1,0,85.0,1,23,4,1,0,0,0,1
34,2,120.7,12,3,4,6,2,1,0,1
0,0,145.0,10,21,4,1,0,0,0,1
52,2,116.1,5,13,4,2,1,3,0,1
151,2,91.48,10,6,4,3,2,0,0,1
145,0,94.5,8,1,4,1,1,3,0,1
35,1,68.07,12,9,4,7,2,0,0,1
16,2,100.0,3,9,4,4,0,0,0,1
75,2,126.0,11,18,4,2,1,0,3,1
308,2,78.3,11,23,4,3,0,0,0,0
11,1,70.3,1,24,4,0,2,0,0,1
1,1,99.0,6,13,4,0,1,0,0,1
12,1,71.87,11,12,4,6,3,3,0,0
28,1,121.03,6,26,4,1,2,3,0,1
30,1,83.8,11,29,4,4,0,3,0,1
35,1,75.0,10,26,3,2,1,0,3,1
147,0,72.25,7,25,3,5,2,0,0,1
5,0,64.4,2,16,3,3,0,0,0,1
43,0,75.0,11,8,3,3,0,0,0,1
104,0,117.29,6,2,4,3,0,0,4,1
5,1,156.0,5,2,4,3,1,0,3,1
17,1,106.77,10,17,4,1,2,0,0,1
100,0,132.18,5,2,4,3,1,0,0,0
64,1,71.83,3,22,3,4,0,0,0,1
17,0,65.0,11,12,2,1,0,0,0,0
180,1,66.49,10,26,4,4,0,0,0,1
54,1,89.46,3,17,4,3,1,0,0,0
26,0,133.8,4,18,3,4,1,1,0,1
161,2,145.85,8,14,4,3,2,0,3,0
15,1,38.67,12,5,3,1,2,0,0,1
103,0,63.58,3,24,3,3,0,0,0,1
191,2,101.34,6,4,4,2,2,0,3,0
55,0,94.5,4,12,4,1,0,3,0,1
7,0,112.2,10,5,3,1,1,1,0,1
82,0,65.0,3,26,3,1,2,0,0,1
27,0,142.78,4,11,4,3,1,1,0,0
1,2,140.0,12,31,4,1,0,3,0,1
6,1,116.62,9,1,4,10,3,0,0,0
47,1,127.0,10,2,4,0,2,0,0,0
60,0,82.95,3,6,4,5,2,0,0,0
59,1,144.9,8,11,4,1,0,0,0,1
73,1,90.78,7,6,4,3,0,0,0,1
133,1,99.3,4,29,4,2,1,0,0,1
18,0,67.0,10,18,2,2,0,0,0,1
45,1,149.4,9,9,4,1,0,0,3,1
88,1,119.0,12,17,4,5,2,0,3,1
56,1,60.0,11,19,3,3,0,0,3,1
32,0,149.4,9,11,4,1,2,0,3,0
55,1,113.4,11,11,4,2,0,0,0,0
33,1,88.0,12,10,4,1,0,3,0,1
204,0,133.2,12,31,4,1,1,0,3,1
130,1,116.1,6,6,4,2,1,3,0,1
102,0,80.75,5,29,3,1,2,0,0,1
4,1,106.14,8,14,4,5,2,0,0,1
39,0,68.76,2,22,4,4,1,0,1,1
12,2,177.0,6,19,4,2,2,0,3,1
13,0,221.0,5,4,4,3,0,0,5,0
44,0,116.0,4,13,4,4,0,3,0,0
130,1,114.3,5,6,4,2,0,0,0,1
95,2,86.25,11,14,4,3,1,0,0,1
5,1,206.0,9,26,4,2,2,0,0,1
16,2,111.75,10,1,4,3,1,0,0,1
304,1,65.6,8,20,4,3,2,0,1,1
0,1,117.04,9,22,4,2,0,3,0,1
1,0,79.0,12,29,2,1,0,0,0,1
0,0,124.0,9,21,4,2,1,0,0,1
62,0,75.0,9,21,3,1,0,1,0,1
0,0,147.5,9,5,4,1,1,0,0,1
6,0,114.4,7,5,3,1,0,0,0,1
2,2,98.0,8,12,4,3,0,0,0,1
32,0,67.5,10,30,3,2,2,0,3,1
3,1,64.68,5,16,4,0,1,3,0,1
32,2,94.5,10,6,4,3,0,0,0,1
59,1,127.8,11,18,4,2,0,1,0,0
14,2,97.02,10,15,4,2,0,0,0,1
92,1,103.5,11,1,4,4,0,0,3,1
75,0,75.0,4,26,3,4,0,0,0,1
7,0,106.0,2,12,4,2,0,0,3,0
25,1,104.0,6,1,4,2,0,3,0,1
54,1,74.8,11,18,4,2,2,3,0,1
39,0,80.75,9,18,3,2,2,0,0,1
220,0,104.55,12,21,4,4,1,0,3,1
49,0,78.3,3,4,4,2,1,0,0,0
1,1,31.0,2,26,2,2,0,0,0,1
110,3,168.1,7,30,4,1,2,0,5,1
28,1,122.0,1,4,3,3,1,0,0,1
4,2,169.0,9,4,4,3,2,0,0,1
34,0,149.4,8,10,4,1,0,0,3,0
72,1,120.6,6,22,4,2,0,0,0,1
163,0,115.0,10,15,4,1,2,0,0,0
0,0,138.0,8,12,4,3,0,0,0,1
36,1,82.7,2,22,4,2,1,0,0,1
0,0,110.0,6,6,3,2,1,0,0,1
142,0,99.3,8,24,4,3,0,0,0,1
116,0,76.0,2,28,3,1,2,0,0,1
115,1,136.1,6,6,4,2,1,0,0,1
21,0,85.0,10,25,3,3,0,3,0,1
76,2,120.9,11,10,4,3,0,0,0,1
44,2,149.4,9,25,4,2,2,0,3,1
91,0,146.7,7,3,4,5,2,0,3,1
2,0,0.0,8,2,1,0,1,0,4,1
4,1,151.0,7,5,4,1,0,0,0,1
42,1,164.33,10,20,4,3,0,0,0,0
119,0,140.4,5,27,4,2,1,0,3,0
39,2,170.1,8,13,4,3,2,1,0,1
5,1,159.0,9,15,4,1,0,0,0,1
85,1,140.4,5,26,4,2,0,0,3,0
107,1,46.63,12,23,4,4,2,0,0,1
57,1,79.2,11,1,4,3,0,3,0,1
2,1,0.0,9,10,1,1,0,0,0,1
14,2,130.0,8,28,4,1,2,0,0,1
99,1,72.25,12,15,4,3,0,0,0,1
127,1,94.5,7,25,4,0,1,3,0,1
2,2,97.0,12,18,4,2,0,0,3,1
199,1,74.8,12,23,4,2,2,3,0,0
28,2,113.79,9,11,4,5,2,0,0,0
163,1,119.7,5,20,4,2,1,0,0,0
26,0,124.7,5,11,4,4,2,3,0,0
0,1,89.0,10,19,4,1,1,0,3,1
164,0,115.6,8,30,3,3,0,0,3,0
11,1,90.95,11,6,4,2,2,0,0,1
171,0,137.7,8,22,4,1,1,0,0,0
41,0,139.5,2,22,4,4,1,0,1,1
9,2,137.0,8,23,4,2,0,3,0,1
164,0,100.0,10,2,3,2,0,0,0,0
1,2,137.0,8,17,4,1,0,3,0,1
359,1,105.0,9,16,4,2,2,0,0,0
3,0,90.0,9,24,3,1,0,0,0,1
7,1,134.33,6,3,4,2,1,0,0,1
89,1,63.75,11,17,4,3,0,0,0,0
3,0,95.0,6,20,3,3,1,0,0,1
0,0,97.0,3,5,4,1,0,3,0,1
132,0,96.3,6,30,4,3,0,0,0,0
3,2,133.0,9,21,4,2,1,3,0,1
14,1,141.0,4,29,4,1,0,0,0,1
96,0,63.75,7,13,3,0,1,0,0,1
170,0,300.0,7,29,3,3,2,1,0,0
133,1,121.5,7,12,4,3,0,0,0,1
175,1,152.15,9,11,4,2,2,1,0,0
2,1,119.0,6,4,4,1,1,3,0,1
120,2,132.3,10,13,4,3,0,0,3,1
27,0,105.49,4,20,4,2,0,0,3,0
89,1,132.6,5,16,4,3,1,0,3,1
204,1,180.9,10,7,4,2,0,0,5,0
16,0,92.85,12,4,3,2,2,0,0,1
29,0,144.0,12,17,4,1,0,1,0,1
25,1,154.0,10,17,4,1,1,3,0,1
27,0,118.15,9,19,4,0,1,0,0,0
0,0,77.71,8,30,4,2,0,3,0,1
63,2,149.4,9,12,4,2,1,0,3,1
94,0,134.1,8,5,4,2,1,0,0,0
140,0,116.1,9,7,4,2,0,3,0,0
203,0,112.5,12,8,4,3,0,1,0,1
238,0,54.09,12,26,4,3,1,0,0,0
5,0,95.0,4,4,0,3,1,0,0,0
1,0,81.0,2,20,4,1,0,3,0,1
54,1,65.0,11,18,2,1,0,0,0,1
40,1,87.32,6,29,4,2,0,0,0,1
8,2,96.0,12,12,4,0,1,0,0,1
56,1,156.6,12,19,4,0,1,0,5,1
117,1,99.45,5,13,4,2,2,3,0,1
320,0,90.0,8,18,3,2,0,1,0,0
418,0,75.0,9,26,4,2,1,0,0,0
157,0,72.25,7,7,3,3,1,0,0,1
134,0,116.1,6,18,4,1,0,3,0,1
113,0,151.2,10,9,4,3,2,0,3,1
5,2,80.3,1,15,4,2,1,0,0,1
67,1,98.1,9,6,4,2,0,0,0,0
33,1,152.1,8,11,4,1,0,0,0,1
10,0,72.9,1,15,4,1,0,0,0,1
4,1,80.0,8,8,4,1,2,3,0,1
99,0,132.6,5,23,4,3,1,0,3,0
60,0,135.9,9,27,4,3,0,0,0,0
43,1,74.8,11,29,4,11,4,0,0,0
4,0,89.0,5,16,4,0,1,3,0,1
17,0,187.0,7,9,4,1,1,0,3,0
46,1,117.9,7,4,4,2,1,0,0,1
160,0,94.5,7,25,4,2,1,3,0,0
193,1,99.45,8,18,4,3,1,0,0,1
5,0,66.0,3,2,2,1,0,0,0,1
147,1,174.0,3,24,4,3,0,0,5,1
166,1,114.3,8,7,4,1,2,0,0,0
63,0,80.75,4,26,3,4,0,0,0,1
115,1,104.55,4,29,4,3,2,0,3,0
